,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,2.4,KSC,B,TNG,15,North,,,,,2,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,,,-,,L,-14
,6,,2.4,KSC,B,SUR,98,Crash Zone Alpha,,,,1,,,,1,,,,1,,,,,,,,1,,,1,1,,,,,,,,,1,,1,,,,-,,W,22
,7,,2.4,KSC,B,ARP,24,Land of Fire,,,,,2,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,-,,W,18
,8,,2.4,KSC,B,ES,120,Sea of Fortune,,1,,,1,,,,,,1,,,,,1,,,,,2,,,,,,,,1,,1,,,,,,,,-,,W,19
,9,,2.4,KSC,B,CUTER,8,Crash Zone Alpha,,,,,1,,,,,1,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,-,,L,-16
,10,,2.4,KSC,B,R-F,18,Shards,,,,,1,,,1,,,,1,,,,,,,,,1,,2,,,,,,,1,,,,1,,,,,-,,W,25
,11,,2.4,KSC,B,KUMA,60,Hotspot,,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,,,,,,1,,,1,,,,,-,,W,19
,12,,2.4,KSC,B,PWP,4,Crash Zone Alpha,,,,,2,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,-,,W,28
,13,,2.4,KSC,B,KSD,26,Sea of Fortune,,,,,2,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,2,,,,-,,L,-23
,14,,2.4,KSC,B,BOTES,17,North,,,1,,,,,,,,,,,,,,,,,1,1,,3,,,2,,,,,,,,,,,,,-,,L,-18
,15,,2.4,KSC,B,CUTER,8,Hotspot,,,,,1,,,,,1,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,-,,W,28
,1,6/11,3.1,KSC,B,SYN,170,Crash Zone Alpha,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,3,,,,-,,L,-19
,2,,3.1,KSC,B,KWA,69,North,,,,1,,,,,,,2,1,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,-,,W,19
,3,,3.1,KSC,B,ADOPT,30,Sea of Fortune,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,3,,,,-,,L,-19
,4,,3.1,KSC,B,PN,80,Hotspot,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,3,,,,-,,L,-20
,5,,3.1,KSC,B,CUTE,22,Warrior's Path,,,,,1,,,,1,,,,,,,1,,,,1,1,,,,,,,,,1,,,,,2,,,,-,,W,24
,6,,3.1,KSC,B,QQ7,20,Sea of Fortune,,1,,,1,,,,,,,,,,,,,,,1,1,,2,,,1,,,,,,,,,1,,,,-,,W,21
,7,,3.1,KSC,B,CVR,37,Warrior's Path,,1,,,1,,,,,,,,,,,2,,,,1,2,,,,,,,,1,,,,,,,,,,-,,W,18
,8,,3.1,KSC,B,TNG,15,Sea of Fortune,,,,,2,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,,,-,,L,-14
,9,,3.1,KSC,B,SYN,170,North,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,3,,,,-,,L,-19
,10,,3.1,KSC,B,QCN,176,Hotspot,,,,,1,,,,,1,,1,,,,1,,,,,1,,,,,,,,,1,,,,,2,,,,-,,W,20
,11,,3.1,KSC,B,PWP,4,Crash Zone Alpha,,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,1,,,,,,,,1,,,,,-,,L,-14
,12,,3.1,KSC,B,FORM,51,Land of Fire,,,,,1,,,,,1,1,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,-,,W,21
,13,,3.1,KSC,B,R-F1,93,Sea of Fortune,,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,2,,,,-,,L,-21
,14,,3.1,KSC,B,MIA,16,Crash Zone Alpha,,,,,1,,,,,,,,,,,,,,,,2,,2,,,1,,,,,,,,,2,,,,-,,L,-19
,15,,3.1,KSC,B,SYN,170,Sea of Fortune,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,3,,,,-,,W,25
,16,,3.1,KSC,B,NNC,43,Land of Fire,,,,,1,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,2,,,,-,,W,21
,17,,3.1,KSC,B,R-F,18,Warrior's Path,,1,,,,,,1,,,,1,,,,,,,,,1,,1,,,,,,,1,,,,,2,,,,-,,W,23
,18,,3.1,KSC,B,UR,14,Crash Zone Alpha,,,,,1,,,1,,,,1,,,,,,,,,1,,2,,,1,,,,,,,,1,,,,,-,,L,-20
,1,7/11,3.2,KSC,B,MIA,16,Shards,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,4,,,,-,,L,-17
,2,,3.2,KSC,B,PSV,10,Sea of Fortune,,1,,,1,,,,,,,1,,,,,,,,1,,,2,,,,,,,1,,,,1,,,,,-,,L,-15
,3,,3.2,KSC,B,BS,106,Crash Zone Alpha,,,,,2,,,,,,,1,,,,1,,,,,1,,1,,,,,,1,,,,,,1,,,,-,,W,24
,4,,3.2,KSC,B,KSD,26,Hotspot,,,,,2,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,2,,,,-,,L,-18
,5,,3.2,KSC,B,STW,31,Sea of Fortune,,,,,2,,,,,,,1,,1,,,,1,,,1,,,,,,,,,1,,,,1,,,,,-,,W,20
,6,,3.2,KSC,B,CVR,37,Crash Zone Alpha,,1,,,1,,,,,,,,,,,1,,,,2,1,,,,,,,,1,,,,,,1,,,,-,,L,-19
,7,,3.2,KSC,B,CUTE,22,Land of Fire,,,,,1,,,,1,,,,,,,,,,,2,1,,1,,,,,,,,,,,1,1,,,,-,,W,20
,8,,3.2,KSC,B,5D2,118,North,,,1,,1,,,,,,,1,,,,,,,,,1,1,1,,,,,,1,,,,,1,,,,,-,,W,18
,9,,3.2,KSC,B,DES23,236,Land of Fire,,2,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,1,1,,,,,-,,W,19
,10,,3.2,KSC,B,TASH,52,Warrior's Path,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,4,,,,-,,W,S
,11,,3.2,KSC,A,O7,1,Shards,,1,,,,,,,,,,,,,,,,,,1,2,,2,,,1,,,,,,,,1,,,,,-,,L,-12
,1,9/11,3.3,KSC,A,PWP,4,Hotspot,,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,-,,L,-15
,2,,3.3,KSC,A,FIES,43,Sea of Fortune,,1,,,1,,,,,,,1,,,,1,,,,,2,,,,,,,,,,,,,1,1,,,,-,,W,23
,3,,3.3,KSC,A,UR,14,Shards,,,,,1,,,1,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,1,,,,,-,,W,S
,4,,3.3,KSC,A,SORRY,133,Crash Zone Alpha,,,,,2,,,,,,,1,,,,,,,,,2,,1,,,,,,1,1,,,,,,,,,-,,L,S
,5,,3.3,KSC,A,PWP,4,Warrior's Path,,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,1,,,,,,,,1,,,,,-,,L,S
,6,,3.3,KSC,A,R-F1,93,North,,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,2,,,,-,,W,S
,7,,3.3,KSC,A,O7,1,Hotspot,,1,,,,,,,,,,,,,,,,,,1,2,,2,,,1,,,,,,,,1,,,,,-,,W,S
,8,,3.3,KSC,A,AP,12,Shards,,,,,2,,,,,,,1,,,,,,,,1,,,2,,,1,,,,,,,,1,,,,,-,,W,37
,9,,3.3,KSC,B,KILL,63,Shards,,,,,2,,,,,,,,,,,,,1,,2,,,1,,,,,,,1,,,,1,,,,,-,,W,S
,10,,3.3,KSC,B,CCTV2,111,Warrior's Path,,,,,1,,,,,1,,1,,,,,,,,1,1,,1,,,,,,,1,,,,1,,,,,-,,W,S
,11,,3.3,KSC,B,SCCC,3,Hotspot,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,S
,12,,3.3,KSC,B,MIA,16,Sea of Fortune,,,,,1,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,1,2,,,,-,,W,48
,13,,3.3,KSC,B,OVO,91,Land of Fire,,,,,2,,,,,,,1,,,,1,,,,,2,,,,,1,,,,,,,,1,,,,,-,,W,19
,14,,3.3,KSC,B,CAMP,26,Sea of Fortune,,1,,,1,,,,,,,1,,,,,,1,,,2,,,,,,,,,1,,,,1,,,,,-,,L,-16
,15,,3.3,KSC,B,SCCC,3,Crash Zone Alpha,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,-16
,16,,3.3,KSC,B,PEEDZ,38,Shards,,1,,,1,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,2,,,,-,,L,-19
,17,,3.3,KSC,B,TQL,53,Warrior's Path,,,,,2,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,2,,,,,-,,L,S
,18,,3.3,KSC,B,O7,1,Sea of Fortune,,1,,,,,,,,,,,,,,,,1,,1,2,,1,,,1,,,,,,,,1,,,,,-,,L,S
,19,,3.3,KSC,B,5D,45,Shards,,,,,1,1,,,,,1,1,,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,-,,L,S
,20,,3.3,KSC,B,AP,12,Land of Fire,,,,,2,,,,,,,1,,,,,,,,1,,,2,,,,,,,1,,,,1,,,,,-,,L,-40
,1,10/11,3.4,KSC,B,R-F1,93,Crash Zone Alpha,,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,2,,,,-,,L,-21
,2,,3.4,KSC,B,TNG-3,48,North,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,2,,,,-,,W,21
,3,,3.4,KSC,B,PSV,10,Hotspot,,1,,,1,,,,,,,1,,,,,,,,1,,,2,,,,,,1,,,,,1,,,,,-,,L,-17
,4,,3.4,KSC,B,TRETA,90,Shards,,,,,2,,,,,,,1,,,,1,,,,,2,,,,,,,,,,,,1,1,,,,,-,,W,22
,5,,3.4,KSC,B,BLEP,96,Crash Zone Alpha,,1,,,1,,,,,,,,,,,2,,,,2,,,,,,,,,2,,,,,,,,,,-,,W,19
,6,,3.4,KSC,B,QQ7,20,Warrior's Path,,,1,,,,,,,,,1,,,,,,,,2,,,2,,,1,,,,,,,1,,,,,,-,,L,-22
,7,,3.4,KSC,B,PN,80,Hotspot,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,3,,,,-,,L,-17
,8,,3.4,KSC,B,KSD,26,North,,,,,1,,,1,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,2,,,,-,,W,22
,9,,3.4,KSC,B,TQL,53,Shards,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,4,,,,-,,W,24
,10,,3.4,KSC,B,KILL,63,Land of Fire,,,,,2,,,,,,1,1,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,-,,W,S
,11,,3.4,KSC,B,CUTE,22,North,,,,,1,,1,,,,,,,,,1,,,,2,,,1,,,,,,,1,,,,,1,,,,-,,L,S
,12,,3.4,KSC,B,CVR,37,Hotspot,,1,,,1,,,,,,,,,,,1,,,,2,2,,,,,,,,1,,,,,,,,,,-,,W,S
,13,,3.4,KSC,B,-K-,11,Crash Zone Alpha,,,,,1,,,1,,,,,,,,,,,,1,1,,1,,,,,,,1,,,,,2,,,,-,,L,S
,14,,3.4,KSC,B,STAR,88,Sea of Fortune,,,1,,1,,,,,,,,,,,,,,,1,2,,1,,,,,,,1,,,,1,,,,,-,,W,S
,15,,3.4,KSC,B,STW,31,North,,,1,,1,,,,,,,1,,,,1,,,,1,1,,,,,,,,1,1,,,,,,,,,-,,W,45
,1,,4.1,KSC,B,-TXT-,42,Sea of Fortune,,,,,2,,,,,,,1,,,,,,1,,,1,,1,,,1,,,1,,,,,,,,,,-,,W,19
,2,,4.1,KSC,B,R-F,18,Shards,,1,,,1,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,1,1,,,,-,,W,19
,3,,4.1,KSC,B,RNG,35,Crash Zone Alpha,,1,,,1,,,,,,,,,,,,2,,,,1,,1,,,1,,,,,,,,1,,,,,-,,L,-19
,4,,4.1,KSC,B,-BN-,9,North,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,W,24
,5,,4.1,KSC,B,NGAGE,6,Shards,,1,,,1,,,,,,,,1,,,,,,,1,,,2,,,,,,2,,,,,,,,,,-,,L,-19
,6,,4.1,KSC,B,QCN,176,North,,,,,1,,,,,1,,1,,,,1,,,,,1,,,,,,,,,1,,,,1,1,,,,-,,W,18
,7,,4.1,KSC,B,PN,80,Hotspot,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,3,,,,-,,W,22
,8,,4.1,KSC,B,-B2P-,23,Warrior's Path,,,,,,,,,,2,,,,,,1,1,,,1,1,,,,,1,,,,1,,,,,,,,,-,,L,-24
,9,,4.1,KSC,B,DENY,100,Land of Fire,,,,1,1,,,,,,,,,,,,1,,,1,2,,,,,,,,,1,,,,,1,,,,-,,W,15
,10,,4.1,KSC,B,TNG,15,Sea of Fortune,,,,,2,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,,,-,,W,22
,11,,4.1,KSC,B,GAISHU,2,Shards,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,4,,,,-,,L,-6
,12,,4.1,KSC,B,UR,14,North,,,,,1,,,1,,,,1,,,,,,,,,2,,1,,,,,,,1,,,,1,,,,,-,,W,23
,13,,4.1,KSC,B,NNC,43,Warrior's Path,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,1,,,,,,,,,3,,,,-,,L,-25
,14,,4.1,KSC,B,R-R-R,75,Hotspot,,,,,2,,,,,,,1,,,,,,,,,1,,2,,,,,,1,,,,,1,,,,,-,,W,17
,15,,4.1,KSC,B,MIA,16,Sea of Fortune,,,,,1,,,,,,,,,,,,1,,,,1,,2,,,1,,,,,,,,1,1,,,,-,,L,-21
,16,,4.1,KSC,B,CUTE,22,Land of Fire,,,,,1,,,,1,,,,,,,,3,,,1,,,,,,,,,,1,,,,1,,,,,-,,W,20
,1,,4.2,KSC,B,SUR,98,Hotspot,,,1,,,,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,3,,,,-,,L,-26
,2,,4.2,KSC,B,-TXT-,42,Warrior's Path,,1,,,1,,,,,,,1,,,,,,1,,1,,,1,,,,,,,1,,,,1,,,,,-,,L,-22
,3,,4.2,KSC,B,PN,80,Sea of Fortune,,1,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,3,,,,-,,W,20
,4,,4.2,KSC,B,SALVO,62,North,,1,,,1,,,,,,,,,,,1,,,,1,1,,1,,,1,,,,1,,,,,,,,,-,,W,16
,5,,4.2,KSC,B,OO7,13,Land of Fire,,,,,2,,,,,,,,,,,,,,,,2,,2,,,,,,,1,,,,1,,,,,-,,W,22
,6,,4.2,KSC,B,NEON,79,Crash Zone Alpha,,,,,2,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,,,2,,,,-,,L,27
,7,,4.2,KSC,B,RNG,35,Sea of Fortune,,1,,,1,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,1,1,,,,-,,L,-22
,8,,4.2,KSC,B,KAG,57,Hotspot,,1,,,1,,,,,,,,,,,1,,,,1,1,,1,,,1,,,,,,,,,1,,,,-,,W,16
,9,,4.2,KSC,B,-MM-,95,Shards,,1,,,1,,,,,,,1,,,,,,1,,1,1,,,,,,,,1,1,,,,,,,,,-,,W,17
,10,,4.2,KSC,B,PWP,4,Crash Zone Alpha,,,,,2,,,,,,,1,,,,,,,,,2,,1,,,1,,,,,,,,1,,,,,-,,L,-24
,11,,4.2,KSC,B,STW,31,Warrior's Path,,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,2,,,,,,,,,-,,L,-22
,12,,4.2,KSC,B,KUMA,60,North,,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,,,,,1,1,,,,,,,,-,,W,20
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,KSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,23/10,1.1,KSD,A,TNG,15,Hotspot,br4in6,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,-,,L,-26
,2,,1.1,KSD,A,WISCO,342,Sea of Fortune,br4in6,,1,,1,,,,,,,2,,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,-,,W,30
,3,,1.1,KSD,A,ES,120,Warrior's Path,br4in6,1,1,,,,,,,,1,1,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,-,,W,28
,4,,1.1,KSD,A,UDEAD,74,North,br4in6,,1,,,,,,,1,,2,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,,-,,W,28
,5,,1.1,KSD,A,-SCL-,356,Crash Zone Alpha,br4in6,1,1,,,,,,,,,2,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,-,,W,30
,6,,1.1,KSD,A,PHU,102,Shards,br4in6,,,,2,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,2,,,,,-,,L,-19
,7,,1.1,KSD,A,SUR,98,Warrior's Path,br4in6,1,,,,,,,,1,,1,,1,,,,,,1,,,1,,,,,,,,,,1,,1,,,,-,,L,-18
,8,,1.1,KSD,A,GROGS,167,North,br4in6,,1,,1,,,,,,,1,,1,,,,,,1,1,,,,,,,,,1,,,1,,,,,,-,,W,28
,9,,1.1,KSD,A,SAA,229,Sea of Fortune,br4in6,,,,1,,,,1,,,2,,,,1,,,,,1,,1,,,,,,,,,,1,,,,,,-,,W,S
